level,playing_users,lost_heart_not_out_users,lost_heart_not_out_won,lost_heart_not_out_dropped_cohort,lost_heart_not_out_dropped_realtime,total_out_of_lives_users,out_of_lives_returned_users,out_of_lives_churned_cohort,out_of_lives_churned_realtime,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime
166,12,3,3,0,0,0,0,0,0,0,0,0,0
167,12,4,4,0,0,0,0,0,0,0,0,0,0
168,12,3,3,0,0,1,1,0,0,0,0,0,0
169,12,5,5,0,0,1,1,0,0,0,0,0,0
170,12,5,5,0,0,0,0,0,0,0,0,0,0
171,12,5,5,0,0,0,0,0,0,0,0,0,0
172,12,5,5,0,0,0,0,0,0,0,0,0,0
173,12,5,5,0,0,0,0,0,0,0,0,0,0
174,12,5,5,0,0,0,0,0,0,0,0,0,0
175,12,4,4,0,0,0,0,0,0,0,0,0,0
176,12,4,4,0,0,0,0,0,0,0,0,0,0
177,12,4,4,0,0,0,0,0,0,0,0,0,0
178,12,4,4,0,0,0,0,0,0,0,0,0,0
179,12,6,6,0,0,0,0,0,0,0,0,0,0
180,12,1,1,0,0,0,0,0,0,0,0,0,0
181,12,1,1,0,0,0,0,0,0,0,0,0,0
182,12,1,1,0,0,0,0,0,0,0,0,0,0
183,12,1,1,0,0,0,0,0,0,0,0,0,0
184,12,2,2,0,0,0,0,0,0,0,0,0,0
185,12,2,2,0,0,0,0,0,0,0,0,0,0
186,12,1,1,0,0,0,0,0,0,0,0,0,0
187,12,1,1,0,0,0,0,0,0,0,0,0,0
188,12,1,1,0,0,0,0,0,0,0,0,0,0
189,12,2,2,0,0,1,1,0,0,0,0,0,0
190,12,3,3,0,0,1,1,0,0,0,0,0,0
191,12,3,3,0,0,1,1,0,0,0,0,0,0
192,13,3,3,0,0,0,0,0,0,0,0,0,0
193,13,3,3,0,0,0,0,0,0,0,0,0,0
194,13,2,2,0,0,0,0,0,0,0,0,0,0
195,13,1,1,0,0,0,0,0,0,0,0,0,0
196,13,1,1,0,0,0,0,0,0,0,0,0,0
197,13,1,1,0,0,0,0,0,0,0,0,0,0
198,13,1,1,0,0,0,0,0,0,0,0,0,0
199,13,5,4,0,1,1,1,0,0,0,0,0,2
200,11,5,5,0,0,0,0,0,0,0,0,0,0
201,11,5,5,0,0,0,0,0,0,0,0,0,0
202,11,4,4,0,0,0,0,0,0,0,0,0,0
203,11,4,4,0,0,0,0,0,0,0,0,0,0
204,11,4,4,0,0,0,0,0,0,0,0,0,0
205,11,2,2,0,0,0,0,0,0,0,0,0,0
206,11,2,2,0,0,0,0,0,0,0,0,0,0
207,11,2,2,0,0,0,0,0,0,0,0,0,0
208,11,4,4,0,0,0,0,0,0,0,0,0,0
209,11,3,3,0,0,2,1,0,0,0,0,0,0
210,11,3,3,0,0,1,1,0,0,0,0,0,0
211,11,4,4,0,0,0,0,0,0,0,0,0,0
212,11,5,5,0,0,0,0,0,0,0,0,0,0
213,11,5,5,0,0,0,0,0,0,0,0,0,0
214,11,4,4,0,0,1,0,0,0,0,0,0,0
215,11,4,4,0,0,0,0,0,0,0,0,0,0
216,11,4,4,0,0,0,0,0,0,0,0,0,0
217,11,4,4,0,0,0,0,0,0,0,0,0,0
218,11,4,4,0,0,0,0,0,0,0,0,0,0
219,11,4,4,0,0,0,0,0,0,0,0,0,0
220,11,5,5,0,0,0,0,0,0,0,0,1,0
221,10,4,4,0,0,0,0,0,0,0,0,1,0
222,9,3,3,0,0,0,0,0,0,0,0,0,0
223,9,3,3,0,0,0,0,0,0,0,0,0,0
224,9,3,3,0,0,0,0,0,0,0,0,0,1
225,8,2,2,0,0,0,0,0,0,0,0,2,0
226,6,1,1,0,0,0,0,0,0,0,0,0,0
227,6,1,1,0,0,0,0,0,0,0,0,0,0
228,6,1,1,0,0,0,0,0,0,0,0,0,0
229,6,1,1,0,0,0,0,0,0,0,0,0,0
230,6,1,1,0,0,0,0,0,0,0,0,0,0
231,6,1,1,0,0,0,0,0,0,0,0,0,0
232,6,1,1,0,0,0,0,0,0,0,0,0,0
233,6,1,1,0,0,0,0,0,0,0,0,0,0
234,6,1,1,0,0,0,0,0,0,0,0,0,0
235,6,1,1,0,0,0,0,0,0,0,0,0,0
236,6,1,1,0,0,0,0,0,0,0,0,0,0
237,6,1,1,0,0,0,0,0,0,0,0,0,0
238,6,1,1,0,0,0,0,0,0,0,0,0,0
239,6,2,2,0,0,1,1,0,0,0,0,0,0
240,6,2,2,0,0,0,0,0,0,0,0,0,0
241,6,2,2,0,0,0,0,0,0,0,0,0,0
242,6,2,2,0,0,1,1,0,0,0,0,0,0
243,6,2,2,0,0,1,1,0,0,0,0,0,0
244,6,1,1,0,0,1,1,0,0,0,0,0,0
245,6,2,2,0,0,0,0,0,0,0,0,0,0
246,6,2,2,0,0,0,0,0,0,0,0,0,0
247,6,2,2,0,0,0,0,0,0,0,0,0,0
248,6,2,2,0,0,0,0,0,0,0,0,0,0
249,6,3,3,0,0,0,0,0,0,0,0,0,0
250,6,2,2,0,0,0,0,0,0,0,0,0,0
251,6,2,2,0,0,0,0,0,0,0,0,0,0
252,6,2,2,0,0,0,0,0,0,0,0,0,0
253,6,1,1,0,0,1,1,0,0,0,0,0,0
254,6,2,2,0,0,0,0,0,0,0,0,0,0
255,6,2,2,0,0,0,0,0,0,0,0,0,0
256,6,1,1,0,0,0,0,0,0,0,0,0,0
257,6,1,1,0,0,0,0,0,0,0,0,0,0
258,6,1,1,0,0,0,0,0,0,0,0,0,0
259,6,1,1,0,0,0,0,0,0,0,0,1,0
260,5,1,1,0,0,0,0,0,0,0,0,0,0
261,5,1,1,0,0,0,0,0,0,0,0,0,0
262,5,1,1,0,0,0,0,0,0,0,0,0,0
263,5,1,1,0,0,0,0,0,0,0,0,0,0
264,5,1,1,0,0,0,0,0,0,0,0,0,0
265,5,1,1,0,0,0,0,0,0,0,0,0,0
266,5,1,1,0,0,0,0,0,0,0,0,0,0
267,5,1,1,0,0,0,0,0,0,0,0,0,0
268,5,1,1,0,0,0,0,0,0,0,0,0,0
269,5,2,2,0,0,0,0,0,0,0,0,0,0
270,5,2,2,0,0,0,0,0,0,0,0,0,0
271,5,2,2,0,0,0,0,0,0,0,0,0,0
272,5,2,2,0,0,0,0,0,0,0,0,0,0
273,5,2,2,0,0,0,0,0,0,0,0,0,0
274,5,2,2,0,0,0,0,0,0,0,0,0,0
275,5,2,2,0,0,0,0,0,0,0,0,0,0
276,5,2,2,0,0,0,0,0,0,0,0,0,0
277,5,2,2,0,0,0,0,0,0,0,0,0,0
278,5,2,2,0,0,0,0,0,0,0,0,0,0
279,5,2,2,0,0,0,0,0,0,0,0,0,0
280,5,0,0,0,0,0,0,0,0,0,0,0,0
281,5,0,0,0,0,0,0,0,0,0,0,0,0
282,5,1,1,0,0,0,0,0,0,0,0,0,0
283,5,1,1,0,0,0,0,0,0,0,0,0,0
284,5,1,1,0,0,0,0,0,0,0,0,0,0
285,5,1,1,0,0,0,0,0,0,0,0,0,0
286,5,1,1,0,0,0,0,0,0,0,0,0,0
287,5,1,1,0,0,0,0,0,0,0,0,0,0
288,5,1,1,0,0,0,0,0,0,0,0,1,0
289,4,1,1,0,0,0,0,0,0,0,0,0,0
290,4,1,1,0,0,0,0,0,0,0,0,0,0
291,4,1,1,0,0,0,0,0,0,0,0,0,0
