level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
109,52,0.0215,0.0203,2.02,0.7115,1.0,0.8462,0.5048,0,0,0,0,0.6038,50.38,1.1077,0.7989,0.273,0,0.0213,0.0213,104,52,3.8517,9.7872,0,77,9,0,1,1,13,1,29995,269,362,481,635,407.94,136,220,325,158,0.3077,3,9,2,6,3,1,0,3,5,1,3,7,11,19,4,0,4,15,2,7,5,3,16,1,0,2,3,5,12,11,12,1,13,0,1,2,13,5,1,0.0192,0.25,0.0,0.0192,0.0385,0.25,0.0962,0.0192
110,52,0.0215,0.0203,1.0,1.0,1.0,0.8654,0.0,0,0,1,0,0.0192,,0.323,0.1133,0.2001,0,0.0062,0.0062,15,31,3.8576,9.7993,0,2,11,0,0,0,1,0,3332,58,58,71,95,64.08,0,0,0,0,0.0,3,9,2,6,3,1,0,3,5,1,1,3,1,1,0,0,2,2,2,6,1,3,2,1,0,2,4,3,5,9,12,0,1,0,0,0,1,0,0,0.0,0.0192,0.0,0.0,0.0,0.0192,0.0,0.0
111,51,0.0211,0.02,1.04,0.9608,1.0,0.8824,0.0377,0,0,0,0,0.0,9.0,0.2496,0.0826,0.1532,0,0.0049,0.0049,5,29,3.8595,9.8106,0,0,5,0,0,0,0,0,5072,95,95,117,130,98.84,0,31,31,15.5,0.0392,3,9,2,5,3,1,0,3,5,1,1,1,1,0,0,0,1,0,2,6,1,1,3,1,0,2,3,3,2,9,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,51,0.0211,0.02,1.06,0.9412,1.0,0.8824,0.0556,0,0,1,0,0.037,62.33,0.2744,0.1222,0.1324,0,0.0054,0.0054,11,27,3.8638,9.8212,0,3,6,0,0,0,2,0,5442,89,93,125,156,103.29,52,83,83,58,0.0588,3,9,2,5,3,1,0,3,5,1,1,1,0,2,0,0,1,1,2,5,1,3,2,1,0,2,3,3,3,7,11,0,2,0,0,0,2,0,0,0.0,0.0392,0.0,0.0,0.0,0.0392,0.0,0.0
113,50,0.0207,0.0196,1.14,0.92,0.96,0.9375,0.1053,0,0,0,0,0.0182,37.83,0.2601,0.1063,0.1369,0,0.0052,0.0052,15,28,3.8697,9.8322,0,7,7,0,0,0,1,0,5423,89,93,128,148,103.43,70,85,92,59.17,0.06,3,9,2,4,3,1,0,3,5,1,3,1,0,1,0,0,1,4,2,5,1,3,3,1,0,2,3,4,4,8,12,0,1,0,0,0,1,0,0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0
114,48,0.0203,0.0188,1.23,0.9167,1.0,0.9167,0.1864,0,0,0,0,0.0508,34.64,0.3087,0.1658,0.1282,0,0.0064,0.0064,23,30,3.8787,9.8439,0,14,7,0,0,0,2,0,8896,128,144,183,238,170.52,50,95,135,64.64,0.0833,3,8,2,4,3,1,0,3,5,1,1,4,0,4,0,0,1,6,2,5,1,3,6,1,0,2,3,3,7,8,12,0,2,0,0,1,2,0,0,0.0,0.0417,0.0,0.0,0.0208,0.0417,0.0,0.0
115,48,0.0203,0.0188,1.0,1.0,1.0,0.9583,0.0,0,0,0,0,0.0208,,0.2458,0.0872,0.1513,0,0.0051,0.0051,7,31,3.8815,9.856,0,0,6,0,0,0,1,0,3308,65,65,79,100,68.92,0,0,0,0,0.0,3,8,2,4,3,1,0,3,5,1,1,1,0,1,0,0,1,1,2,6,1,3,3,1,0,2,4,3,3,9,13,0,1,0,0,0,1,0,0,0.0,0.0208,0.0,0.0,0.0,0.0208,0.0,0.0
116,49,0.0203,0.0192,1.04,0.9796,1.0,0.9388,0.0196,0,0,0,0,0.0,0.0,0.2505,0.0979,0.1479,0,0.0051,0.0051,9,31,3.885,9.8682,0,3,6,0,0,0,0,0,3416,59,59,82,100,68.32,0,0,0,0,0.0408,3,8,2,4,3,1,0,3,5,1,1,3,0,0,0,0,1,2,2,6,1,3,3,1,0,2,4,3,3,9,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,49,0.0203,0.0192,1.76,0.6531,0.9388,0.8913,0.4302,0,0,1,1,0.2738,51.65,0.6693,0.4831,0.1622,0,0.0137,0.0137,50,37,3.9045,9.8826,0,27,7,1,3,0,8,1,19148,205,265,356,435,283.34,157,223,318,157.59,0.3265,3,8,2,4,3,1,0,3,5,1,3,7,0,13,0,0,3,10,2,5,2,4,5,1,0,2,3,3,9,9,12,3,9,1,0,3,10,1,0,0.0612,0.1837,0.0204,0.0,0.0612,0.2041,0.0204,0.0
118,46,0.0196,0.018,1.0,1.0,1.0,0.9348,0.0,0,0,0,0,0.0217,,0.2124,0.0973,0.1084,0,0.0046,0.0046,10,27,3.9085,9.8932,0,2,7,0,0,0,1,0,4871,86,86,119,157,105.89,0,0,0,0,0.0,3,8,2,4,3,1,0,3,4,1,1,2,0,1,0,0,1,3,2,5,1,3,3,1,0,2,2,3,5,8,11,0,1,0,0,0,1,0,0,0.0,0.0217,0.0,0.0,0.0,0.0217,0.0,0.0
